interaction,ligand,receptor,type,classification,source
NPY->-NPY1R,NPY,NPY1R,diffusion,Signaling by Pro-neuregulin,CellPhoneDB-v5
NPY->-NPY2R,NPY,NPY2R,diffusion,Signaling by Pro-neuregulin,CellPhoneDB-v5
NPY->-NPY4R,NPY,NPY4R,diffusion,Signaling by Pro-neuregulin,CellPhoneDB-v5
NPY->-NPY5R,NPY,NPY5R,diffusion,Signaling by Pro-neuregulin,CellPhoneDB-v5
NPY->-PRLHR,NPY,PRLHR,diffusion,Signaling by Pro-neuregulin,CellPhoneDB-v5
NRG1->-ERBB3,NRG1,ERBB3,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRG1->-ERBB4,NRG1,ERBB4,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRG1->-ITGB4_ITGA6,NRG1,ITGB4_ITGA6,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRG2->-ERBB3,NRG2,ERBB3,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRG2->-ERBB4,NRG2,ERBB4,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRG3->-ERBB4,NRG3,ERBB4,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRG4->-ERBB4,NRG4,ERBB4,diffusion,Signaling by Neuregulin,CellPhoneDB-v5
NRTN->-RET_GFRA2,NRTN,RET_GFRA2,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NRXN1_CBLN1->-GRID2,NRXN1_CBLN1,GRID2,contact,,CellPhoneDB-v5
NSMF->-GNRHR,NSMF,GNRHR,contact,,CellPhoneDB-v5
NTF3->-NGFR,NTF3,NGFR,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NTF3->-NTRK1,NTF3,NTRK1,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NTF3->-NTRK2,NTF3,NTRK2,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NTF3->-NTRK3,NTF3,NTRK3,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NTF4->-NGFR,NTF4,NGFR,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NTF4->-NTRK2,NTF4,NTRK2,diffusion,Signaling by Neurotrophin,CellPhoneDB-v5
NTN1->-DCC,NTN1,DCC,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN1->-DSCAM,NTN1,DSCAM,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN1->-UNC5A,NTN1,UNC5A,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN1->-UNC5B,NTN1,UNC5B,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN1->-UNC5C,NTN1,UNC5C,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN4->-NTRK2,NTN4,NTRK2,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN4->-UNC5B,NTN4,UNC5B,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTN4->-UNC5D,NTN4,UNC5D,diffusion,Signaling by Netrin,CellPhoneDB-v5
NTS->-NTSR1,NTS,NTSR1,diffusion,Signaling by Neurotensin,CellPhoneDB-v5
NTS->-NTSR2,NTS,NTSR2,diffusion,Signaling by Neurotensin,CellPhoneDB-v5
NTS->-SORT1,NTS,SORT1,diffusion,Signaling by Neurotensin,CellPhoneDB-v5
NXNL1->-BSG_SLC16A1,NXNL1,BSG_SLC16A1,contact,,CellPhoneDB-v5
OMD->-ITGAV_ITGB3,OMD,ITGAV_ITGB3,diffusion,,CellPhoneDB-v5
OSM->-LIFR_IL6ST,OSM,LIFR_IL6ST,diffusion,Signaling by Oncostatin-M precursor,CellPhoneDB-v5
OSM->-OSMR_IL6ST,OSM,OSMR_IL6ST,diffusion,Signaling by Oncostatin-M precursor,CellPhoneDB-v5
OXT->-AVPR1A,OXT,AVPR1A,diffusion,Signaling by Oxytocin,CellPhoneDB-v5
OXT->-AVPR1B,OXT,AVPR1B,diffusion,Signaling by Oxytocin,CellPhoneDB-v5
OXT->-AVPR2,OXT,AVPR2,diffusion,Signaling by Oxytocin,CellPhoneDB-v5
OXT->-OXTR,OXT,OXTR,diffusion,Signaling by Oxytocin,CellPhoneDB-v5
PDCD1LG2->-PDCD1,PDCD1LG2,PDCD1,diffusion,,CellPhoneDB-v5
PDGFA->-PDGFRA,PDGFA,PDGFRA,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDGFB->-PDGFRA,PDGFB,PDGFRA,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDGFB->-PDGFRA_PDGFRB,PDGFB,PDGFRA_PDGFRB,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDGFB->-PDGFRB,PDGFB,PDGFRB,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDGFC->-PDGFRA,PDGFC,PDGFRA,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDGFD->-PDGFRA_PDGFRB,PDGFD,PDGFRA_PDGFRB,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDGFD->-PDGFRB,PDGFD,PDGFRB,diffusion,Signaling by Platelet-derived growth factor,CellPhoneDB-v5
PDYN->-OPRD1,PDYN,OPRD1,diffusion,Signaling by Opioid,CellPhoneDB-v5
PDYN->-OPRK1,PDYN,OPRK1,diffusion,Signaling by Opioid,CellPhoneDB-v5
PDYN->-OPRM1,PDYN,OPRM1,diffusion,Signaling by Opioid,CellPhoneDB-v5
PENK->-GHSR,PENK,GHSR,diffusion,,CellPhoneDB-v5
PENK->-OPRD1,PENK,OPRD1,diffusion,Signaling by Opioid,CellPhoneDB-v5
PENK->-OPRK1,PENK,OPRK1,diffusion,Signaling by Opioid,CellPhoneDB-v5
PENK->-OPRM1,PENK,OPRM1,diffusion,Signaling by Opioid,CellPhoneDB-v5
PF4->-CXCR3,PF4,CXCR3,diffusion,,CellPhoneDB-v5
PGF->-FLT1,PGF,FLT1,diffusion,Signaling by Placenta growth factor,CellPhoneDB-v5
PGF->-FLT1_KDR,PGF,FLT1_KDR,diffusion,Signaling by Placenta growth factor,CellPhoneDB-v5
PGF->-NRP1,PGF,NRP1,diffusion,Signaling by Placenta growth factor,CellPhoneDB-v5
PGF->-NRP2,PGF,NRP2,diffusion,Signaling by Placenta growth factor,CellPhoneDB-v5
PI16->-TNFRSF21,PI16,TNFRSF21,diffusion,,CellPhoneDB-v5
PLA2G2A->-ITGB1_ITGA4,PLA2G2A,ITGB1_ITGA4,diffusion,Cell adhesion by Phospholipase,CellPhoneDB-v5
PLA2G2A->-ITGB1_ITGA5,PLA2G2A,ITGB1_ITGA5,diffusion,Cell adhesion by Phospholipase,CellPhoneDB-v5
PLAU->-PLAUR,PLAU,PLAUR,diffusion,Signaling by Plasminogen Activator,CellPhoneDB-v5
PLG->-ITGA2B_ITGB3,PLG,ITGA2B_ITGB3,diffusion,,CellPhoneDB-v5
PMCH->-MCHR1,PMCH,MCHR1,diffusion,Signaling by Pro-MHC,CellPhoneDB-v5
PMCH->-MCHR2,PMCH,MCHR2,diffusion,Signaling by Pro-MHC,CellPhoneDB-v5
PNMT->-ADRA1A,PNMT,ADRA1A,diffusion,Signaling by Epinephrine,CellPhoneDB-v5
